Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
NewStart_87731f0e		Вы рождаетесь в знатной семье дома Домингес	game/script.rpy	79	"[what]"
NewStart_d52e9b53		Все счастливы	game/script.rpy	80	"[what]"
NewStart_98f9c6b6		Да здравствует Аерай	game/script.rpy	81	"[what]"
NewStart_e2319b91		Спустя 2-3 часа после вашего рождения чтобы определить какая у вас судьба, привели знахаря	game/script.rpy	82	"[what]"
NewStart_5259e1f6		Знахарь увидел в вас могущественного мага	game/script.rpy	90	"[what]"
NewStart_55f61340		Знахарь увидел в вас великого воина	game/script.rpy	96	"[what]"
NewStart_8d2135cb		Знахарь увидел в вас ловкого мастера теней	game/script.rpy	102	"[what]"
NewStart_d0013e55		Спустя год, вы уже уверенно ходили	game/script.rpy	107	"[what]"
NewStart_2c385595		Ваш отец общался с вашей матерью	game/script.rpy	108	"[what]"
NewStart_ffa1cc87		Вы хотели тоже поговорить с мамой	game/script.rpy	109	"[what]"
NewStart_fc7b9bd4	g	муауму	game/script.rpy	111	g "[what]"
NewStart_fc59651a		На вас обратили внимание	game/script.rpy	112	"[what]"
NewStart_d4d46609		И положили обратно в вашу кроватку	game/script.rpy	115	"[what]"
NewStart_664bfdbb		Вот вам уже целых 5 лет	game/script.rpy	119	"[what]"
NewStart_bad377b1		У вас день рождения	game/script.rpy	120	"[what]"
NewStart_eb1bec27		Все вас поздравляют, дарят подарки, носят на руках, но не родители	game/script.rpy	121	"[what]"
NewStart_2ca836d4		Они сидели вдали и о чем-то разговаривали	game/script.rpy	122	"[what]"
NewStart_bfa8a74a		Спустя минут 5	game/script.rpy	132	"[what]"
MoveToRod_3f13be75		Вы пошли к родителям	game/script.rpy	136	"[what]"
MoveToRod_d110840e		Они разговаривали о скором разорении	game/script.rpy	137	"[what]"
MoveToRod_2eeed7ce	g	Мама о чем, вы говорите?	game/script.rpy	138	g "[what]"
MoveToRod_370a982a	m	Говорим какого учителя тебе закажем	game/script.rpy	143	m "[what]"
MoveToRod_34dd424c	p	Знаешь зач...	game/script.rpy	148	p "[what]"
MoveToRod_35b450aa		Папа не успел договорить, как на сцену...	game/script.rpy	150	"[what]"
event_1_97fc6291		На сцену пришла ваша любимая группа магов	game/script.rpy	153	"[what]"
event_1_8eaaef0d		Они пускали огненных зайчиков и выполняли ваши желания	game/script.rpy	154	"[what]"
event_1_07d65b1c		Вы пожелали стать великим магом	game/script.rpy	156	"[what]"
event_1_a90b1c9c		В течение часа все разошлись по домам, а вы отправились в кровать	game/script.rpy	157	"[what]"
event_1_f0411ef4		На следущий день	game/script.rpy	158	"[what]"
event_1_2b1c9a97		Вы пожелали стать сильным	game/script.rpy	161	"[what]"
event_1_a90b1c9c_1		В течение часа все разошлись по домам, а вы отправились в кровать	game/script.rpy	162	"[what]"
event_1_f0411ef4_1		На следущий день	game/script.rpy	163	"[what]"
event_1_95824bb9		Вы пожелали стать ловким	game/script.rpy	166	"[what]"
event_1_a90b1c9c_2		В течение часа все разошлись по домам, а вы отправились в кровать	game/script.rpy	167	"[what]"
event_1_f0411ef4_2		На следущий день	game/script.rpy	168	"[what]"
road_milali_a86e0dfd		Вас учат фехтованию	game/script.rpy	173	"[what]"
road_milali_56b450eb		Спустя год вы стали лучшим фехтовальщиком во дворце после отца	game/script.rpy	174	"[what]"
road_magic_5d369408		Вас учат магии огня	game/script.rpy	180	"[what]"
road_magic_363964f3		Почему огня?	game/script.rpy	181	"[what]"
road_magic_6c7d2ae8		Вы проснулись и попытались сделать огненных зайчиков	game/script.rpy	182	"[what]"
road_magic_d8827acb		Вы отправили сильный огненный шар в сторону юга	game/script.rpy	183	"[what]"
road_magic_5329fe63		Теперь ваша комната не подлежит ремонту	game/script.rpy	184	"[what]"
road_magic_a472ec37		Но вы очень быстро учитесь	game/script.rpy	185	"[what]"
road_magic_b08dfe2e		Вы даже научились комбинировать заклинания	game/script.rpy	186	"[what]"
road_magic_88e9d8f8		Это могут не все	game/script.rpy	187	"[what]"
